ts_code,name,industry
002156.SZ,通富微电,半导体
002157.SZ,正邦科技,农业综合
002163.SZ,海南发展,装修装饰
002171.SZ,楚江新材,铜
002176.SZ,江特电机,小金属
002179.SZ,中航光电,元器件
002180.SZ,奔图科技,IT设备
002181.SZ,粤传媒,出版业
002185.SZ,华天科技,半导体
002190.SZ,成飞集成,汽车配件
002192.SZ,融捷股份,小金属
002195.SZ,岩山科技,软件服务
002202.SZ,金风科技,电气设备
002203.SZ,海亮股份,铜
002217.SZ,合力泰,元器件
002221.SZ,东华能源,石油加工
002222.SZ,福晶科技,元器件
002223.SZ,鱼跃医疗,医疗保健
002226.SZ,江南化工,化工原料
002230.SZ,科大讯飞,软件服务
002236.SZ,大华股份,IT设备
002237.SZ,恒邦股份,黄金
002240.SZ,盛新锂能,小金属
002241.SZ,歌尔股份,元器件
002244.SZ,滨江集团,区域地产
002245.SZ,蔚蓝锂芯,电气设备
002249.SZ,大洋电机,电气设备
002252.SZ,上海莱士,生物制药
002261.SZ,拓维信息,软件服务
002262.SZ,恩华药业,化学制药
002265.SZ,建设工业,专用机械
002266.SZ,浙富控股,环境保护
002268.SZ,电科网安,IT设备
002270.SZ,华明装备,电气设备
002271.SZ,东方雨虹,其他建材
002273.SZ,水晶光电,元器件
002276.SZ,万马股份,电气设备
002281.SZ,光迅科技,通信设备
002287.SZ,奇正藏药,中成药
002290.SZ,禾盛新材,家用电器
002294.SZ,信立泰,化学制药
002299.SZ,圣农发展,农业综合
002304.SZ,洋河股份,白酒
002311.SZ,海大集团,饲料
002312.SZ,川发龙蟒,化工原料
002317.SZ,众生药业,中成药
002318.SZ,久立特材,特种钢
002320.SZ,海峡股份,水运
002326.SZ,永太科技,化工原料
002335.SZ,科华数据,电气设备
002340.SZ,格林美,小金属
002352.SZ,顺丰控股,仓储物流
002353.SZ,杰瑞股份,化工机械
002364.SZ,中恒电气,电气设备
002368.SZ,太极股份,软件服务
002371.SZ,北方华创,半导体
002372.SZ,伟星新材,其他建材
002373.SZ,千方科技,软件服务
002378.SZ,章源钨业,小金属
002379.SZ,宏桥控股,铝
002384.SZ,东山精密,元器件
002385.SZ,大北农,饲料
002389.SZ,航天彩虹,航空
002396.SZ,星网锐捷,通信设备
002399.SZ,海普瑞,化学制药
002400.SZ,省广集团,广告包装
002402.SZ,和而泰,元器件
002405.SZ,四维图新,软件服务
002407.SZ,多氟多,化工原料
002409.SZ,雅克科技,半导体
002410.SZ,广联达,软件服务
002413.SZ,雷科防务,通信设备
002414.SZ,高德红外,电器仪表
002415.SZ,海康威视,IT设备
002416.SZ,爱施德,电器连锁
002422.SZ,科伦药业,化学制药
002423.SZ,中粮资本,多元金融
002428.SZ,云南锗业,小金属
002429.SZ,兆驰股份,家用电器
002430.SZ,杭氧股份,化工机械
002432.SZ,九安医疗,医疗保健
002436.SZ,兴森科技,元器件
002444.SZ,巨星科技,轻工机械
002456.SZ,欧菲光,元器件
002459.SZ,晶澳科技,电气设备
002460.SZ,赣锋锂业,小金属
002461.SZ,珠江啤酒,啤酒
002463.SZ,沪电股份,元器件
002465.SZ,海格通信,通信设备
002466.SZ,天齐锂业,小金属
002468.SZ,申通快递,仓储物流
002472.SZ,双环传动,汽车配件
002475.SZ,立讯精密,元器件
002484.SZ,江海股份,元器件
002487.SZ,大金重工,电气设备
002488.SZ,金固股份,汽车配件
002491.SZ,通鼎互联,通信设备
002493.SZ,荣盛石化,化纤
002497.SZ,雅化集团,小金属
002498.SZ,汉缆股份,电气设备
002500.SZ,山西证券,证券
002506.SZ,协鑫集成,电气设备
002507.SZ,涪陵榨菜,食品
002508.SZ,老板电器,家用电器
002517.SZ,恺英网络,互联网
002518.SZ,科士达,电气设备
002531.SZ,天顺风能,电气设备
002532.SZ,天山铝业,铝
002536.SZ,飞龙股份,汽车配件
002544.SZ,普天科技,通信设备
002545.SZ,东方铁塔,农药化肥
002549.SZ,凯美特气,环境保护
002552.SZ,宝鼎科技,元器件
002555.SZ,三七互娱,互联网
002558.SZ,巨人网络,互联网
002565.SZ,顺灏股份,造纸
002568.SZ,百润股份,红黄酒
002583.SZ,海能达,通信设备
002594.SZ,比亚迪,汽车整车
002595.SZ,豪迈科技,专用机械
002597.SZ,金禾实业,食品
002600.SZ,领益智造,元器件
002601.SZ,龙佰集团,化工原料
002602.SZ,世纪华通,互联网
002603.SZ,以岭药业,中成药
002607.SZ,中公教育,文教休闲
002608.SZ,江苏国信,火力发电
002611.SZ,东方精工,轻工机械
002617.SZ,露笑科技,电气设备
002624.SZ,完美世界,互联网
002625.SZ,光启技术,航空
002636.SZ,金安国纪,元器件
002648.SZ,卫星化学,化工原料
002653.SZ,海思科,化学制药
002670.SZ,国盛证券,证券
002673.SZ,西部证券,证券
002683.SZ,广东宏大,化工原料
002701.SZ,奥瑞金,广告包装
002709.SZ,天赐材料,化工原料
002714.SZ,牧原股份,农业综合
002716.SZ,湖南白银,小金属
002736.SZ,国信证券,证券
002738.SZ,中矿资源,小金属
002739.SZ,儒意电影,影视音像
002747.SZ,埃斯顿,机械基件
002755.SZ,奥赛康,化学制药
002756.SZ,永兴材料,小金属
002759.SZ,天际股份,电气设备
002773.SZ,康弘药业,化学制药
002779.SZ,中坚科技,农用机械
002797.SZ,第一创业,证券
002812.SZ,恩捷股份,电气设备
002821.SZ,凯莱英,生物制药
002831.SZ,裕同科技,广告包装
002837.SZ,英维克,专用机械
002841.SZ,视源股份,元器件
002847.SZ,盐津铺子,食品
002850.SZ,科达利,电气设备
002851.SZ,麦格米特,电气设备
002859.SZ,洁美科技,元器件
002865.SZ,钧达股份,电气设备
002867.SZ,周大生,服饰
002891.SZ,中宠股份,饲料
002895.SZ,川恒股份,化工原料
002896.SZ,中大力德,机械基件
002906.SZ,华阳集团,汽车配件
002911.SZ,佛燃能源,供气供热
002916.SZ,深南电路,元器件
002920.SZ,德赛西威,汽车配件
002926.SZ,华西证券,证券
002936.SZ,郑州银行,银行
002938.SZ,鹏鼎控股,元器件
002939.SZ,长城证券,证券
002945.SZ,华林证券,证券
002946.SZ,新乳业,乳制品
002948.SZ,青岛银行,银行
002957.SZ,科瑞技术,专用机械
002958.SZ,青农商行,银行
002966.SZ,苏州银行,银行
002969.SZ,嘉美包装,广告包装
002975.SZ,博杰股份,专用机械
002984.SZ,森麒麟,汽车配件
002987.SZ,京北方,软件服务
003021.SZ,兆威机电,元器件
003022.SZ,联泓新科,化工原料
003031.SZ,中瓷电子,元器件
003035.SZ,南网能源,新型电力
003816.SZ,中国广核,新型电力
300001.SZ,特锐德,电气设备
300002.SZ,神州泰岳,互联网
300003.SZ,乐普医疗,医疗保健
300007.SZ,汉威科技,电器仪表
300009.SZ,安科生物,生物制药
300010.SZ,ST豆神,软件服务
300012.SZ,华测检测,电器仪表
300014.SZ,亿纬锂能,电气设备
300015.SZ,爱尔眼科,医疗保健
300017.SZ,网宿科技,软件服务
300024.SZ,机器人,专用机械
300033.SZ,同花顺,软件服务
300037.SZ,新宙邦,化工原料
300049.SZ,福瑞医科,医疗保健
300054.SZ,鼎龙股份,化工原料
300058.SZ,蓝色光标,广告包装
300059.SZ,东方财富,证券
300068.SZ,ST南都,电气设备
300070.SZ,碧水源,环境保护
300073.SZ,当升科技,电气设备
300077.SZ,国民技术,半导体
300085.SZ,银之杰,软件服务
300088.SZ,长信科技,元器件
300100.SZ,双林股份,汽车配件
300102.SZ,乾照光电,半导体
300115.SZ,长盈精密,元器件
300122.SZ,智飞生物,生物制药
300124.SZ,汇川技术,电器仪表
300130.SZ,新国都,IT设备
300136.SZ,信维通信,元器件
300142.SZ,沃森生物,生物制药
300144.SZ,宋城演艺,旅游景点
300146.SZ,汤臣倍健,食品
300170.SZ,汉得信息,软件服务
300180.SZ,华峰超纤,化纤
300199.SZ,翰宇药业,化学制药
300201.SZ,海伦哲,工程机械
300204.SZ,舒泰神,生物制药
300207.SZ,欣旺达,电气设备
300209.SZ,行云科技,互联网
300212.SZ,*ST易录,软件服务
300223.SZ,北京君正,半导体
300224.SZ,正海磁材,矿物制品
300229.SZ,拓尔思,软件服务
300236.SZ,上海新阳,半导体
300251.SZ,光线传媒,影视音像
300253.SZ,卫宁健康,软件服务
300255.SZ,常山药业,生物制药
300257.SZ,开山股份,机械基件
300260.SZ,新莱应材,机械基件
300274.SZ,阳光电源,电气设备
300285.SZ,国瓷材料,陶瓷
300290.SZ,荣科科技,软件服务
300294.SZ,博雅生物,生物制药
300296.SZ,利亚德,元器件
300308.SZ,中际旭创,通信设备
300315.SZ,掌趣科技,互联网
300316.SZ,晶盛机电,专用机械
300339.SZ,润和软件,软件服务
300342.SZ,天银机电,家用电器
300346.SZ,南大光电,半导体
300347.SZ,泰格医药,医疗保健
300364.SZ,中文在线,出版业
300373.SZ,扬杰科技,半导体
300377.SZ,赢时胜,软件服务
300383.SZ,光环新网,软件服务
300390.SZ,天华新能,电气设备
300394.SZ,天孚通信,通信设备
300395.SZ,菲利华,玻璃
300398.SZ,飞凯材料,化工原料
300408.SZ,三环集团,元器件
300409.SZ,道氏技术,电气设备
300413.SZ,芒果超媒,影视音像
300418.SZ,昆仑万维,互联网
300432.SZ,富临精工,汽车配件
300433.SZ,蓝思科技,元器件
300436.SZ,广生堂,化学制药
300438.SZ,鹏辉能源,电气设备
300442.SZ,润泽科技,软件服务
300450.SZ,先导智能,专用机械
300454.SZ,深信服,软件服务
300455.SZ,航天智装,IT设备
300456.SZ,赛微电子,半导体
300457.SZ,赢合科技,专用机械
300458.SZ,全志科技,半导体
300459.SZ,汤姆猫,互联网
300468.SZ,四方精创,软件服务
300469.SZ,信息发展,软件服务
300474.SZ,景嘉微,元器件
300475.SZ,香农芯创,元器件
300476.SZ,胜宏科技,元器件
300487.SZ,蓝晓科技,化工原料
300489.SZ,光智科技,专用机械
300496.SZ,中科创达,软件服务
300498.SZ,温氏股份,农业综合
300502.SZ,新易盛,通信设备
300548.SZ,长芯博创,通信设备
300558.SZ,贝达药业,化学制药
300567.SZ,精测电子,电器仪表
300568.SZ,星源材质,化工原料
300570.SZ,太辰光,通信设备
300601.SZ,康泰生物,生物制药
300604.SZ,长川科技,半导体
300620.SZ,光库科技,通信设备
300623.SZ,捷捷微电,半导体
300627.SZ,华测导航,通信设备
300628.SZ,亿联网络,通信设备
300633.SZ,开立医疗,医疗保健
300638.SZ,广和通,通信设备
300655.SZ,晶瑞电材,半导体
300657.SZ,弘信电子,元器件
300660.SZ,江苏雷利,电气设备
300661.SZ,圣邦股份,半导体
300666.SZ,江丰电子,半导体
300672.SZ,国科微,半导体
300674.SZ,宇信科技,软件服务
300676.SZ,华大基因,医疗保健
300677.SZ,英科医疗,医疗保健
300679.SZ,电连技术,元器件
300682.SZ,朗新科技,软件服务
300699.SZ,光威复材,化纤
300718.SZ,长盛轴承,机械基件
300723.SZ,一品红,化学制药
300724.SZ,捷佳伟创,专用机械
300735.SZ,光弘科技,元器件
300738.SZ,奥飞数据,软件服务
300747.SZ,锐科激光,专用机械
300748.SZ,金力永磁,矿物制品
300750.SZ,宁德时代,电气设备
300751.SZ,迈为股份,专用机械
300757.SZ,罗博特科,专用机械
300759.SZ,康龙化成,化学制药
300760.SZ,迈瑞医疗,医疗保健
300762.SZ,上海瀚讯,通信设备
300763.SZ,锦浪科技,电气设备
300765.SZ,新诺威,食品
300773.SZ,拉卡拉,软件服务
300775.SZ,三角防务,航空
300776.SZ,帝尔激光,专用机械
300777.SZ,中简科技,化纤
300779.SZ,惠城环保,环境保护
300782.SZ,卓胜微,半导体
300803.SZ,指南针,软件服务
300806.SZ,斯迪克,塑料
300811.SZ,铂科新材,矿物制品
300814.SZ,中富电路,元器件
300821.SZ,东岳硅材,化工原料
300832.SZ,新产业,医疗保健
300857.SZ,协创数据,IT设备
300866.SZ,安克创新,元器件
300870.SZ,欧陆通,电气设备
300888.SZ,稳健医疗,医疗保健
300896.SZ,爱美客,医疗保健
300903.SZ,科翔股份,元器件
300919.SZ,中伟新材,电气设备
300953.SZ,震裕科技,电气设备
300957.SZ,贝泰妮,日用化工
300972.SZ,万辰集团,食品
300979.SZ,华利集团,服饰
300999.SZ,金龙鱼,食品
301005.SZ,超捷股份,汽车配件
301018.SZ,申菱环境,专用机械
301035.SZ,润丰股份,农药化肥
301078.SZ,孩子王,其他商业
301091.SZ,深城交,建筑工程
301093.SZ,华兰股份,医疗保健
301165.SZ,锐捷网络,通信设备
301171.SZ,易点天下,互联网
301200.SZ,大族数控,专用机械
301205.SZ,联特科技,通信设备
301217.SZ,铜冠铜箔,元器件
301219.SZ,腾远钴业,小金属
301236.SZ,软通动力,软件服务
301238.SZ,瑞泰新材,化工原料
301269.SZ,华大九天,半导体
301285.SZ,鸿日达,元器件
301308.SZ,江波龙,半导体
301316.SZ,慧博云通,软件服务
301358.SZ,湖南裕能,电气设备
301377.SZ,鼎泰高科,机械基件
301389.SZ,隆扬电子,元器件
301396.SZ,宏景科技,软件服务
301498.SZ,乖宝宠物,饲料
301511.SZ,德福科技,电气设备
301526.SZ,国际复材,玻璃
301550.SZ,斯菱智驱,汽车配件
301666.SZ,大普微,IT设备
302132.SZ,中航成飞,航空
600000.SH,浦发银行,银行
600004.SH,白云机场,机场
600006.SH,东风股份,汽车整车
600007.SH,中国国贸,园区开发
600008.SH,首创环保,水务
600009.SH,上海机场,机场
600010.SH,包钢股份,普钢
600011.SH,华能国际,火力发电
600012.SH,皖通高速,路桥
600015.SH,华夏银行,银行
600016.SH,民生银行,银行
600018.SH,上港集团,港口
600019.SH,宝钢股份,普钢
600021.SH,上海电力,火力发电
600022.SH,山东钢铁,普钢
600023.SH,浙能电力,火力发电
600025.SH,华能水电,水力发电
600026.SH,中远海能,水运
600027.SH,华电国际,火力发电
600028.SH,中国石化,石油加工
600029.SH,南方航空,空运
600030.SH,中信证券,证券
600031.SH,三一重工,工程机械
600032.SH,浙江新能,新型电力
600036.SH,招商银行,银行
600038.SH,中直股份,航空
600039.SH,四川路桥,建筑工程
600048.SH,保利发展,全国地产
600050.SH,中国联通,电信运营
600056.SH,中国医药,医药商业
600057.SH,厦门象屿,仓储物流
600060.SH,海信视像,家用电器
600061.SH,国投资本,证券
600062.SH,华润双鹤,化学制药
600066.SH,宇通客车,汽车整车
600072.SH,中船科技,电气设备
600079.SH,ST人福,化学制药
600085.SH,同仁堂,中成药
600089.SH,特变电工,电气设备
600095.SH,湘财股份,证券
600096.SH,云天化,农药化肥
600098.SH,广州发展,火力发电
600100.SH,同方股份,IT设备
600104.SH,上汽集团,汽车整车
600105.SH,永鼎股份,通信设备
600109.SH,国金证券,证券
600110.SH,诺德股份,电气设备
600111.SH,北方稀土,小金属
600113.SH,浙江东日,区域地产
600114.SH,东睦股份,机械基件
600115.SH,中国东航,空运
600118.SH,中国卫星,航空
600120.SH,浙江东方,多元金融
600126.SH,杭钢股份,普钢
600131.SH,国网信通,通信设备
600132.SH,重庆啤酒,啤酒
600141.SH,兴发集团,农药化肥
600143.SH,金发科技,塑料
600150.SH,中国船舶,船舶
600151.SH,航天机电,汽车配件
600153.SH,建发股份,仓储物流
600155.SH,华创云信,证券
600157.SH,永泰能源,火力发电
600160.SH,巨化股份,化工原料
600161.SH,天坛生物,生物制药
600166.SH,福田汽车,汽车整车
600167.SH,联美控股,供气供热
600170.SH,上海建工,建筑工程
600171.SH,上海贝岭,半导体
600176.SH,中国巨石,玻璃
600177.SH,雅戈尔,服饰
600179.SH,安通控股,水运
600183.SH,生益科技,元器件
600186.SH,莲花控股,食品
600188.SH,兖矿能源,煤炭开采
600196.SH,复星医药,化学制药
600201.SH,生物股份,农业综合
600206.SH,有研新材,半导体
600208.SH,衢州发展,全国地产
600216.SH,浙江医药,化学制药
600219.SH,南山铝业,铝
600221.SH,海航控股,空运
600226.SH,亨通股份,供气供热
600233.SH,圆通速递,仓储物流
600236.SH,桂冠电力,水力发电
600246.SH,万通发展,区域地产
600248.SH,陕建股份,建筑工程
600256.SH,广汇能源,石油开采
600258.SH,首旅酒店,酒店餐饮
600259.SH,中稀有色,小金属
600271.SH,航天信息,软件服务
600276.SH,恒瑞医药,化学制药
600282.SH,南钢股份,普钢
600285.SH,羚锐制药,中成药
600295.SH,鄂尔多斯,特种钢
600298.SH,安琪酵母,食品
600299.SH,安迪苏,饲料
600309.SH,万华化学,化工原料
600312.SH,平高电气,电气设备
600315.SH,上海家化,日用化工
600316.SH,洪都航空,航空
600320.SH,振华重工,专用机械
600323.SH,瀚蓝环境,环境保护
600325.SH,华发股份,区域地产
600326.SH,西藏天路,水泥
600329.SH,达仁堂,中成药
600330.SH,天通股份,专用机械
600331.SH,宏达股份,农药化肥
600332.SH,白云山,中成药
600338.SH,西藏珠峰,铅锌
600339.SH,中油工程,石油开采
600343.SH,航天动力,机械基件
600346.SH,恒力石化,石油加工
600348.SH,华阳股份,煤炭开采
600350.SH,山东高速,路桥
600352.SH,浙江龙盛,染料涂料
600361.SH,创新新材,铝
600362.SH,江西铜业,铜
600363.SH,联创光电,元器件
600366.SH,宁波韵升,矿物制品
600369.SH,西南证券,证券
600372.SH,中航机载,航空
600373.SH,中文传媒,出版业
600376.SH,首开股份,区域地产
600377.SH,宁沪高速,路桥
600378.SH,昊华科技,化工原料
600380.SH,健康元,化学制药
600383.SH,金地集团,全国地产
600388.SH,龙净环保,环境保护
600390.SH,五矿资本,多元金融
600392.SH,盛和资源,小金属
600396.SH,华电辽能,火力发电
600397.SH,江钨装备,专用机械
600398.SH,海澜之家,服饰
600403.SH,大有能源,煤炭开采
600406.SH,国电南瑞,电气设备
600410.SH,华胜天成,软件服务
600415.SH,小商品城,商品城
600416.SH,湘电股份,电气设备
600418.SH,江淮汽车,汽车整车
600420.SH,国药现代,化学制药
600426.SH,华鲁恒升,农药化肥
600428.SH,中远海特,水运
600435.SH,北方导航,专用机械
600436.SH,片仔癀,中成药
600438.SH,通威股份,电气设备
600446.SH,金证股份,软件服务
600452.SH,涪陵电力,水力发电
600456.SH,宝钛股份,小金属
600459.SH,贵研铂业,小金属
600460.SH,士兰微,半导体
600475.SH,华光环能,电气设备
600480.SH,凌云股份,汽车配件
600482.SH,中国动力,船舶
600483.SH,福能股份,新型电力
600486.SH,扬农化工,农药化肥
600487.SH,亨通光电,通信设备
600489.SH,中金黄金,黄金
600490.SH,鹏欣资源,铜
600497.SH,驰宏锌锗,铅锌
600498.SH,烽火通信,通信设备
600499.SH,科达制造,专用机械
600500.SH,中化国际,塑料
600511.SH,国药股份,医药商业
600515.SH,海南机场,机场
600516.SH,方大炭素,矿物制品
600517.SH,国网英大,多元金融
600518.SH,康美药业,中成药
600519.SH,贵州茅台,白酒
600521.SH,华海药业,化学制药
600522.SH,中天科技,通信设备
600528.SH,中铁工业,运输设备
600529.SH,山东药玻,医疗保健
600531.SH,豫光金铅,铅锌
600535.SH,天士力,中成药
600536.SH,中国软件,软件服务
600546.SH,山煤国际,煤炭开采
600547.SH,山东黄金,黄金
600548.SH,深高速,路桥
600549.SH,厦门钨业,小金属
600550.SH,保变电气,电气设备
600559.SH,老白干酒,白酒
600562.SH,国睿科技,通信设备
600563.SH,法拉电子,元器件
600566.SH,济川药业,中成药
600570.SH,恒生电子,软件服务
600575.SH,淮河能源,火力发电
600577.SH,精达股份,电气设备
600578.SH,京能电力,火力发电
600580.SH,卧龙电驱,电气设备
600582.SH,天地科技,专用机械
600583.SH,海油工程,石油开采
600584.SH,长电科技,半导体
600585.SH,海螺水泥,水泥
600588.SH,用友网络,软件服务
600595.SH,中孚实业,铝
600598.SH,北大荒,种植业
600600.SH,青岛啤酒,啤酒
600601.SH,方正科技,元器件
600602.SH,云赛智联,软件服务
600606.SH,绿地控股,全国地产
600612.SH,老凤祥,服饰
600619.SH,海立股份,家用电器
600621.SH,华鑫股份,证券
600623.SH,华谊集团,化工原料
600629.SH,华建集团,建筑工程
600633.SH,浙数文化,互联网
600635.SH,大众公用,供气供热
600637.SH,东方明珠,影视音像
600641.SH,先导基电,半导体
600642.SH,申能股份,火力发电
600651.SH,飞乐音响,电器仪表
600655.SH,豫园股份,百货
600660.SH,福耀玻璃,汽车配件
600663.SH,陆家嘴,园区开发
600667.SH,太极实业,半导体
600673.SH,东阳光,综合类
600674.SH,川投能源,水力发电
600675.SH,中华企业,区域地产
600685.SH,中船防务,船舶
600688.SH,上海石化,石油加工
600690.SH,海尔智家,家用电器
600699.SH,均胜电子,汽车配件
600702.SH,舍得酒业,白酒
600703.SH,三安光电,半导体
600704.SH,物产中大,仓储物流
600707.SH,彩虹股份,元器件
600711.SH,盛屯矿业,小金属
600717.SH,天津港,港口
600726.SH,华电能源,火力发电
600732.SH,爱旭股份,电气设备
600733.SH,北汽蓝谷,汽车整车
600737.SH,中粮糖业,食品
600739.SH,辽宁成大,生物制药
600741.SH,华域汽车,汽车配件
